Algoritmo,Objetivo,Tempo de processamento,Achou solucao?
Busca em Largura,1,0,True
Busca em Largura,2,0,True
Busca em Largura,3,0,True
Busca em Largura,4,0,True
Busca em Largura,5,0,True
Busca em Largura,6,0,True
Busca em Largura,7,0,True
Busca em Largura,8,0,True
Busca em Largura,9,0,True
Busca em Largura,10,0,True
Busca em Largura,11,0,True
Busca em Largura,12,1000,True
Busca em Largura,13,0,True
Busca em Largura,14,0,True
Busca em Largura,15,0,True
Busca em Largura,16,0,True
Busca em Largura,17,0,True
Busca em Largura,18,1001,True
Busca em Largura,19,2000,True
Busca em Largura,20,3001,True
Busca em Largura,21,3014,True
Busca em Largura,22,3000,True
Busca em Largura,23,5001,True
Busca em Largura,24,9001,True
Busca em Largura,25,10003,True
Busca em Largura,26,15003,True
Busca em Largura,27,19004,True
Busca em Largura,28,29007,True
Busca em Largura,29,40009,True
Busca em Largura,30,62128,True
Busca em Largura,31,88453,True
Busca em Largura,32,126548,True
Busca em Largura,33,178580,True
Busca em Largura,34,252514,True
Busca em Largura,35,361617,True
Busca em Largura,36,511786,True
Busca em Largura,37,683539,True
Busca em Largura,38,7919,True
Busca em Largura,39,827539,True
Busca em Largura,40,49893,True
Busca em Largura,41,597801,True
Busca em Largura,42,517354,True
Busca em Largura,43,862308,True
Busca em Largura,44,344892,True
Busca em Largura,45,492706,True
Busca em Largura,46,985837,True
Busca em Largura,47,329592,True
Busca em Largura,48,398434,True
Busca em Largura,49,410798,True
Busca em Largura,50,300212,True
